magnitude,longitude,latitude
1.98,-155.429168701172,19.2188339233398
0.76,-122.810333251953,38.7928352355957
1.6,-122.697998046875,38.8693351745605
1.9,-151.0073,63.1762
1.77999997,-155.277496337891,19.4004993438721
2.27,-121.022331237793,36.5006675720215
0.25,-110.837666666667,44.7646666666667
1.47,-122.729164123535,38.7586669921875
0.01,-116.766,33.664
1.5,-150.0584,62.5153
1.24,-122.759498596191,38.7928352355957
0.75,-122.752998352051,38.7966651916504
1.84,-97.40266667,35.6665
1.7,-155.272,61.2851
2,-155.5452,61.2936
4.8,-68.6812,-21.4578
0.79,-115.8503333,33.5196667
4.3,-139.9991,60.9418
1.39,-113.081833333333,37.8411666666667
1.2,-149.2291,62.4152
1.6,-147.9544,60.7777
4.5,-178.4829,-17.8968
1.06,-113.092833333333,37.8801666666667
1.49,-111.935333333333,40.4588333333333
1.09,-111.941166666667,40.4608333333333
1.34,-111.021833333333,44.7945
0.65,-117.7178333,35.8685
2.06,-155.40299987793,19.2383327484131
1.18,-115.9446667,32.9941667
1.72000003,-155.482162475586,19.4521675109863
2.05,-155.214333333333,19.3725
2.22,-155.244166666667,19.3871666666667
0.2,-144.113833333333,61.9681666666667
1.1,-119.4938,38.5644
5.2,149.4228,-6.4887
0.7,-117.4492,37.0705
2.23,-155.240666666667,19.3823333333333
1.6600000000000001,-122.84883333333333,47.55016666666667
0.2,-166.558833333333,53.9233333333333
1.6,-104.02,31.559
1.28,-166.552166666667,53.927
0.75,-122.803169250488,38.8116683959961
1.2,-142.7104,60.4319
1.91,-155.206329345703,19.2936668395996
-0.05,-168.150666666667,53.3925
4.6,141.4579,37.4914
0.76,-117.1465,33.9721667
1.6,-104.12,31.617
0.77,-117.7115,35.8733333
1.51,-124.545166666667,40.3101666666667
1.9,-152.284,61.1814
4.1,70.4698,36.6071
0.61,-116.4566667,33.4821667
1.04,-116.2663333,33.2481667
1.1,-119.6793,38.662
4.5,-69.9637,-33.1308
1.26,-122.763999938965,38.8208351135254
1.05,-117.6541667,35.9598333
4.8,168.3306,-18.0656
0.67,-122.833168029785,38.8465003967285
1.6,-146.7195,61.4114
1.45,-117.1836667,34.0095
1.76,-155.2431640625,19.3881664276123
2.61,-117.654,35.9628333
0.51,-116.735,33.234
